,perusahaan,alamat,telepon,email,status,persentase,estimasi bulan,sektor_usaha,group/retail,trainer
2095,Bullock Ltd,"9497 Moore Lights
Lake William, MI 83781",973-693-7815x31508,brittany90@example.org,closing,100,May,teknologi,group,BN/AL/IM
2096,Cox Ltd,"9316 Mooney Ports Apt. 928
Lake Elizabeth, FM 75415",649-599-3193x4495,amyboyd@example.com,closing,100,October,pariwisata,group,AL/BN/IM
2097,"Nielsen, Sanchez and Reed","792 Patterson Lake Apt. 266
New Michelle, ME 56249",(809)885-8387x19386,juan25@example.org,closing,100,March,teknologi,group,BN/AL/IM
2098,"Olson, Swanson and Shepherd","2470 Delacruz Spring
Lake Patricktown, KY 48381",001-823-833-7476x154,mooredebra@example.com,closing,100,May,finansial,retail,AL/BN/IM
2099,"Schroeder, Sanchez and Lopez","8748 Butler Plains
Fergusonshire, TN 09381",697.586.7789x9309,johnschmidt@example.com,closing,100,December,pariwisata,retail,Ext
2100,Allen-King,"PSC 7521, Box 9963
APO AA 93131",687.236.3967x4131,jason80@example.net,closing,100,July,teknologi,group,BN/DP
2101,"Medina, Smith and Valdez","0021 Rogers Cape
New Bradley, KY 28245",317-605-9162x37856,nancykelley@example.com,closing,100,September,perdagangan,group,BN/AL/IM
2102,Combs-Miller,"8611 Kristin Route Apt. 527
Gomezside, NM 43052",001-581-685-9563x841,zporter@example.org,closing,100,February,finansial,retail,AL/BN/IM
2103,Long-Ball,"48219 Sean Plain Suite 358
Scottland, IL 26218",+1-326-798-2774,imoody@example.net,closing,100,December,pariwisata,group,AL/BN/IM
2104,Williams-Tyler,"77101 James Mall
East Juantown, MO 21968",550-382-9994,stacy11@example.net,closing,100,December,perbankan,group,Ext
2105,Mitchell Inc,"12841 Curry Mission
Port Williamtown, ME 79807",001-950-985-6276,harveydean@example.net,closing,100,December,perbankan,group,AL
2106,"Burke, Martinez and Hopkins","6559 Chad Summit
Williamberg, MO 86162",760.554.7832,emily26@example.com,closing,100,November,perdagangan,group,BW
2107,Davis-Lloyd,"0029 Adams Centers Apt. 931
East Jakeland, PW 39359",(959)404-0365,nicholsrebecca@example.org,closing,100,September,perbankan,group,BN/AL/IM
2108,Mosley-Murphy,"334 Robinson Inlet
Kellychester, NV 63820",966.918.3410x0350,rwest@example.com,closing,100,May,jasa,retail,BN/AL/IM
2109,Torres PLC,"4952 Smith Shoal Suite 861
Kirstenshire, CO 62885",598-431-1726,alisha13@example.org,closing,100,February,pertambangan,retail,BN/DP
2110,Martin and Sons,"981 Kelly Extensions Suite 354
East Taylorville, TX 83997",279.845.6921,lpierce@example.org,closing,100,August,pariwisata,retail,Ext
2111,Clark Ltd,"72280 Luis Dam
Josephfurt, MN 61333",001-250-872-8196,warrenlisa@example.com,closing,100,May,perdagangan,group,BN/AL/IM
2112,Vaughan and Sons,"03995 Shelby Squares
Crawfordstad, TN 77892",+1-918-690-7064,rodriguezjennifer@example.org,closing,100,January,teknologi,retail,BN/DP
2113,"Hall, Wilson and Guzman","239 Linda Freeway Suite 527
West Dennis, IL 73752",627.945.2064x72388,margaret14@example.org,closing,100,September,perdagangan,retail,AL/BN/IM
2114,Sherman Group,"307 Kimberly Prairie
Johnsonberg, TN 65173",001-271-662-5431x218,castilloadam@example.com,closing,100,April,pariwisata,group,Ext
2115,Martin-Short,"9434 Lindsey Glens
New Ericchester, AL 82145",+1-990-647-8411x26941,icunningham@example.com,closing,100,December,perbankan,group,AL
2116,Miller Group,"425 Jennifer Village
Rebeccaborough, ND 92324",+1-865-967-2540x848,taylorsuarez@example.org,closing,100,January,pertambangan,retail,AL
2117,Robinson-Mack,"7911 Martha Square
Laneview, NJ 01693",3613104939,hancockjacob@example.com,closing,100,August,industri,group,BN/AL/IM
2118,"Frazier, Salazar and Brown","534 Samantha Cove Apt. 775
Michealbury, AR 45007",001-608-640-2578x483,jamespaul@example.net,closing,100,December,teknologi,group,Ext
2119,Dennis Ltd,"90793 Mack Brooks Suite 668
Blakebury, NY 03715",374-375-5758x5583,christinanewman@example.org,closing,100,June,perdagangan,group,BN/AL/IM
2120,Kent-Henry,"43928 Miguel Field
South Shawntown, MS 67976",+1-995-747-7531x202,jwest@example.net,closing,100,May,finansial,group,Ext
2121,Kennedy-Hill,"481 Haynes Pine
Port Nicholasburgh, AR 88750",293-545-5168,jessicadaugherty@example.com,closing,100,December,teknologi,group,AL
2122,"Rojas, Williams and Martinez","PSC 4914, Box 4552
APO AP 36849",988-910-8575x4199,gomezashley@example.com,closing,100,August,perbankan,retail,Ext
2123,"Smith, Trevino and Armstrong","785 Christopher Highway Suite 679
Hayesfurt, AZ 94994",001-569-936-9963x0140,davidharris@example.com,closing,100,December,jasa,group,AL
2124,"Erickson, Robinson and Wagner","50991 Charles Cliffs
North Sophiafort, TN 48341",+1-848-398-3781x53384,ycarr@example.org,closing,100,July,finansial,retail,BN/AL/IM
2125,Galloway and Sons,"575 Faith Grove Suite 605
Port Janetbury, NM 41194",+1-917-809-5465x282,ubrown@example.org,closing,100,April,finansial,retail,AL/BN/IM
2126,Dillon LLC,"USNV Rodriguez
FPO AP 26777",(330)267-4644x51486,stephaniesaunders@example.com,closing,100,September,pariwisata,group,Ext
2127,"Perry, Green and Jones","9837 Kelly Freeway
North Williamland, NV 02943",832-395-8162x8256,nathaniel46@example.com,closing,100,September,finansial,group,Ext
2128,"Johnson, Chandler and Huang","5883 Paul Ford
Coxside, IA 29397",324.640.8462x921,chase56@example.net,closing,100,December,perdagangan,retail,AL/BN/IM
2129,Atkinson-James,"586 Howard Estate Apt. 436
East Robert, OK 36899",774.841.7604x127,ritterjesse@example.net,closing,100,May,perbankan,group,BN/DP
2130,Johnson and Sons,"5341 Laura Points
Kellymouth, CA 51933",+1-735-875-0649x935,jennifer18@example.org,closing,100,February,teknologi,retail,AL
2131,Marquez-Cortez,"653 Susan Lodge
Garciamouth, CT 72109",401-316-4404x22341,brianmcmahon@example.com,closing,100,March,perbankan,group,"DP,BN & AL"
2132,Mills PLC,"USNV Chen
FPO AE 75699",917.657.2727x7735,stacey24@example.org,closing,100,July,pariwisata,retail,Ext
2133,Hayes-Conner,"5274 Garrett Union Apt. 843
East Heidimouth, NJ 94875",895.819.2048,gregorywilliams@example.org,closing,100,July,perbankan,group,BN/DP
2134,"Gardner, Carter and Dunn","1497 Benjamin Villages Apt. 645
Stewartville, AS 44982",233-301-9247,pjones@example.org,closing,100,October,teknologi,group,Extrnal (Martoyo & Nanang)
2135,Welch-Chaney,"USNV Thomas
FPO AA 76720",001-325-483-7622x204,carrolldavid@example.net,closing,100,December,pertambangan,retail,BN/AL/IM/ ext
2136,Miller-Green,"930 Young Expressway
Joseland, IA 05754",284.544.4697,staffordtonya@example.net,closing,100,November,perdagangan,retail,BN
2137,"Solomon, Hughes and Conley","4249 Noble Cove
North Alicia, FM 58756",4874379418,jessica61@example.org,closing,100,June,pariwisata,group,Ext
2138,Rivas-Lane,"780 Chambers Lakes
Summershaven, PA 00932",+1-875-973-1532,williamperkins@example.net,closing,100,February,perdagangan,group,AL
2139,"Thompson, Fleming and Hardy","1471 Jesus Drives Suite 627
South Thomasstad, SD 84300",(335)894-6156,mrodgers@example.org,closing,100,February,pariwisata,group,Ext
2140,Marshall-Phillips,"54413 Phillips View
South Jacquelineberg, NE 47661",9748317910,christinejames@example.org,closing,100,April,teknologi,retail,BN/AL/IM
2141,Stewart Group,"912 William Village Suite 047
West Stacie, MS 14374",001-593-910-4077x55206,frank18@example.com,closing,100,May,pertambangan,group,Ext
2142,Stephens LLC,"Unit 7248 Box 1552
DPO AE 18256",282-989-7025,brianestrada@example.org,closing,100,November,industri,retail,Ext
2143,Hunt PLC,"PSC 7164, Box 6110
APO AE 42455",213.371.2315,johnbrown@example.net,closing,100,April,jasa,group,BN/AL/IM
2144,Green-Hudson,"8785 Wise Path
Carlosfort, KS 65630",814-635-0803x54070,lloyddaniel@example.org,closing,100,October,jasa,group,AL/BN/IM
2145,Nelson Inc,"668 Williams Springs Apt. 327
Jacobfurt, AS 79236",+1-274-293-1669x5557,yvetteadams@example.net,closing,100,March,pariwisata,retail,"RL,SH"
2146,"Welch, Lara and King","68051 Joyce Hill
North Maxwell, NM 73954",(901)236-6083x557,ross23@example.com,closing,100,April,teknologi,retail,AL
2147,Cooper PLC,"6746 Danny Road
East Scott, CA 27657",001-867-783-4588x2231,brownkatherine@example.org,closing,100,August,finansial,group,AL/BN/IM
2148,Gray-Davis,"40359 Lopez Ford Suite 382
Carolynville, WA 73047",787-704-3686,christine16@example.com,closing,100,January,perbankan,group,Ext
2149,"Trujillo, Johnson and Daniel","242 Debbie Fort
New Jasonborough, CO 32838",(512)412-0218,lbean@example.org,closing,100,June,jasa,retail,AL/BN/IM
2150,"Lopez, Wilson and Vargas","6524 Pham Estate
East Stephen, ND 88734",643-642-0728x624,dfrank@example.org,closing,100,August,jasa,retail,BN/AL/IM
2151,"Howard, Clayton and Craig","Unit 6308 Box 3604
DPO AP 04401",+1-427-928-4670x1023,deborah15@example.com,closing,100,April,pariwisata,retail,BN/DP
2152,Cherry-Campbell,"1073 Brooke Ferry Apt. 982
Jeffreyshire, KY 88016",5753981320,garciadeanna@example.net,closing,100,May,pertambangan,group,AL
2153,"Henderson, Miller and Williams","5345 Tina Squares Suite 548
Murrayton, NC 11952",001-806-838-9643x498,jenniferjones@example.net,closing,100,April,industri,retail,AL
2154,"Moore, Rodriguez and Grimes","5278 Edwards Ferry Apt. 492
Port Michaelfort, VT 27459",438.952.4582x005,laura29@example.com,closing,100,August,pariwisata,group,Ext
2155,"Nielsen, Green and Shaffer","39513 Monica Passage
New Shannon, PW 33614",994-413-7728,qholmes@example.net,closing,100,June,teknologi,group,DP
2156,Flores Inc,"885 Banks Square Suite 657
Port Chelsea, GA 69142",(726)541-6525x2547,nortonjay@example.com,closing,100,June,pertambangan,retail,BN/AL/IM
2157,Booker LLC,"719 Hood Square Apt. 894
Robertfurt, WI 14816",+1-689-898-5725x4528,yfuller@example.com,closing,100,February,jasa,retail,AL/BN/IM
2158,"Case, Cole and Vargas","664 James Isle Suite 302
New Brian, HI 46935",598.600.9194x173,gregorymark@example.com,closing,100,April,industri,group,BN/AL/IM
2159,"Berry, Webb and Brock","891 Kathryn Mill Apt. 079
Watsonfurt, MS 04430",3709044403,kbaker@example.com,closing,100,September,teknologi,retail,BN/AL/IM
2160,Jackson-Joyce,"9131 White Terrace Apt. 728
Port Brittany, OK 02994",527.301.3954x27520,smithmarcus@example.com,closing,100,April,industri,group,Ext
2161,"Daniels, Flores and Bryant","3554 Kristin Lock
Dominicshire, MH 62795",462-330-3253x525,cmorgan@example.net,closing,100,December,pariwisata,group,"AL, Ext, BN/IM"
2162,Trevino Inc,"0724 Walls Ports
Mcphersontown, MP 21714",001-223-313-1152,wolfrobert@example.net,closing,100,February,industri,group,BN//AL/IM
2163,Wilson Group,"Unit 4225 Box 4024
DPO AP 10339",917-772-9283,levinebrian@example.net,closing,100,February,industri,group,BN/DP
2164,Frederick Ltd,"4504 Cruz Trafficway
Morrisbury, OR 53125",594.951.4542,john08@example.org,closing,100,October,jasa,group,BN/AL/IM
2165,Wolf-Turner,"644 Henson Harbor
Lake Daniel, IA 39660",001-943-884-2770x65724,emartinez@example.org,closing,100,June,finansial,retail,AL
2166,"Munoz, Brown and Green","552 Stephen Courts
West Michaelfurt, IN 33728",375-360-1693x7948,stephaniehoover@example.org,closing,100,April,perbankan,retail,BN/AL/IM
2167,Patrick Inc,"44243 Thompson Lodge
East Michaelafurt, LA 01077",621.363.8892,arthur96@example.org,closing,100,August,industri,group,BN/DP
2168,Lindsey-Blair,"6126 Sonya Crossing Apt. 378
Samanthaland, ND 61463",(300)811-8512x35795,johnsonkaren@example.com,closing,100,August,pariwisata,retail,Ext
2169,Ellison Group,"31621 Andres Green Suite 508
Travisfort, AL 97484",+1-220-882-3971x70537,bowmanrandall@example.net,closing,100,October,jasa,group,Ext
2170,Walton-Gonzalez,"08617 Hughes Knolls
Brayburgh, NE 04527",698.878.6304,zcook@example.com,closing,100,January,finansial,retail,BN/DP
2171,Cooper Ltd,"3361 Melissa Manors Apt. 083
Port Bryan, SD 42973",816.458.7512,kellyramos@example.net,closing,100,June,teknologi,group,BN/AL/IM
2172,Gomez-Clarke,"31254 Dickson Field Apt. 708
West Nathanielland, CO 74796",001-462-658-5312x58435,victorflores@example.org,closing,100,August,industri,retail,Ext
2173,Vargas Group,"PSC 7462, Box 3073
APO AA 23109",(247)916-4966,obrienneil@example.net,closing,100,December,jasa,group,BN/AL/IM
2174,Hamilton LLC,"08645 John Tunnel
Port Robert, FM 28231",(457)523-8321,thomas47@example.org,closing,100,April,teknologi,retail,BN/AL/IM
2175,"Jones, Phelps and Matthews","0573 Heather Forks
Wangland, PW 03327",4842378841,thomaslewis@example.com,closing,100,February,perbankan,retail,BN/AL/IM
2176,"Vargas, Rice and Austin","809 Chavez Throughway
Owensberg, DE 11828",865.595.1067x61077,ortizjamie@example.net,closing,100,January,teknologi,retail,BN/AL/IM
2177,Dunn-Copeland,"85330 Carroll Cliff Apt. 097
South Oscarstad, AS 72817",001-258-794-5108,ugillespie@example.net,closing,100,December,industri,group,Ext
2178,Brennan-Brown,"615 Harrington Summit
East Jennifer, TN 16887",8436618471,amanda04@example.net,closing,100,July,finansial,group,BN/DP
2179,Martinez LLC,"25507 Peter Oval
Port Michaelton, NE 09531",660.902.4179,durhamkatie@example.org,closing,100,May,pariwisata,retail,BN/DP
2180,Holloway and Sons,"8589 Hernandez Branch Apt. 325
Lake Michelleside, WY 10723",2087670485,thompsonlisa@example.org,closing,100,September,perbankan,group,AL
2181,Burton-Robles,"178 Smith Extensions Apt. 088
South Jesseville, VA 52795",001-856-512-0991x40077,pwoods@example.org,closing,100,December,perbankan,retail,Ext
2182,Hall-White,"40814 Sarah Neck Apt. 331
South Mariabury, SD 89757",911-534-5901,alexandersheryl@example.net,closing,100,July,pertambangan,retail,Ext
2183,Hall-Leonard,"47506 Caldwell Vista Suite 984
West Brian, RI 37842",888-455-4117x688,kayla74@example.net,closing,100,August,perbankan,retail,AL
2184,Thompson-Sullivan,"4716 Cindy Haven
Lake Kenneth, NV 69202",530.435.3586x124,barnettalicia@example.com,closing,100,December,perbankan,group,BN/AL/IM
2185,Ewing and Sons,"22736 Roberts Place
Boydport, WV 66057",652-709-7072x40903,davidprice@example.org,closing,100,October,pertambangan,group,Ext
2186,Robbins and Sons,"259 Christopher Rest Apt. 226
Rileyshire, MT 77804",+1-788-774-6319x75010,veronica29@example.net,closing,100,November,jasa,group,AL/BN/IM
2187,"Cruz, Hawkins and Sanchez","91609 Robbins Fields Apt. 582
Millerburgh, FL 54707",404.851.1749x898,barrdeborah@example.net,closing,100,August,jasa,group,Ext
2188,Hall-Mcgrath,"60841 Jones Inlet
Lake Stevenville, NC 90148",856.456.7192x349,meganalexander@example.com,closing,100,January,pertambangan,retail,Ext
2189,"Dawson, Winters and Dougherty","0728 Johnson Rue
South Vincent, NV 16439",+1-675-614-6437,hinesricardo@example.org,closing,100,April,pertambangan,group,BN//AL/IM
2190,Mathews-Herrera,"89426 Walter Harbors Apt. 074
Armstronghaven, CO 58865",(962)640-1038x059,kimberly23@example.com,closing,100,June,pariwisata,group,BN/AL/IM
2191,"Caldwell, Allen and Gross","76470 Jeremy Stream
Andersonview, KY 83778",+1-592-618-4112,lauren41@example.org,closing,100,February,industri,group,BN/AL/IM
2192,Lynch-Gonzalez,"123 Brown Loaf
Seanfort, DC 92742",001-906-706-5898x643,madelineparker@example.net,closing,100,April,pariwisata,retail,Ext
2193,"Marquez, Nielsen and Trujillo","58440 Anderson Courts
South Carmenhaven, IL 54952",7652295144,suttonjeffrey@example.net,closing,100,March,teknologi,group,Ext
2194,Brown-Reyes,"608 Williams Mount
East Scottville, FM 38443",+1-594-628-6199x09747,imorrison@example.org,closing,100,June,pariwisata,group,Ext
2195,Wright-Willis,"832 Thomas Locks Apt. 076
East Jenniferberg, MI 94314",(446)774-0818,taylorjoshua@example.com,closing,100,August,jasa,group,BN/AL/IM
2196,"Bradley, Phillips and Walker","498 Chad Light
East Melanie, VA 48990",9065516034,jesuskeller@example.org,closing,100,February,finansial,group,BN/AL/IM
2197,Elliott-Ellis,"512 Margaret Glen Apt. 655
New Bethany, TX 13532",667.603.9154x360,nmurphy@example.org,closing,100,October,perdagangan,group,AL/BN/IM
2198,Collier-Potter,"444 Delacruz Square
Port Christopher, NM 24964",001-424-908-5995x03189,nguyenbrian@example.org,closing,100,February,jasa,retail,HH
2199,"Gilmore, Jarvis and Harris","45826 Patrick Motorway
Lake Julia, MT 87786",(708)303-4768x815,kimberly88@example.net,closing,100,October,finansial,group,Ext
2200,Scott-Rios,"2131 Anthony Lights
Amyfort, KS 61946",001-634-919-1096x7257,michael85@example.com,closing,100,July,pertambangan,group,Ext
2201,Lewis-Ball,"1522 Ariana Tunnel Suite 632
Ellisfort, DC 96945",+1-474-701-8125,tina72@example.org,closing,100,June,industri,group,AA
2202,Wallace LLC,"375 Martin Dam Apt. 754
Joseside, AR 90034",+1-650-803-1874x781,kennethjackson@example.org,closing,100,December,pariwisata,group,AL & BN
2203,Travis PLC,"333 Perry Ford Suite 560
Chelsealand, KY 76550",+1-881-572-8512,ybarnett@example.org,closing,100,April,jasa,retail,BN/AL/IM
2204,Brooks PLC,"Unit 0144 Box 6196
DPO AE 67339",241-549-1689,aaron20@example.org,closing,100,April,pariwisata,retail,Ext
2205,"Ball, Ruiz and Lyons","3132 Young Terrace
North Michaelview, IL 24085",+1-379-211-2517,thomasshelly@example.com,closing,100,October,finansial,group,HH
2206,Torres-Ali,"185 Michelle Hills Suite 592
Alexisbury, MN 41837",313.602.0177x7034,pedronichols@example.com,closing,100,October,teknologi,group,Ext & BN
2207,Perez PLC,"7186 Rebecca Mountain Suite 508
New Brendamouth, NE 03086",(423)603-8285,foleyjennifer@example.org,closing,100,May,jasa,group,Ext
2208,Garza-Brown,"18728 Miller Gardens Apt. 718
Dawnport, FM 61332",+1-333-691-1276x3084,william64@example.net,closing,100,December,industri,retail,BN/AL/IM
2209,Carlson and Sons,"25646 Sharon Trail Suite 699
South James, MO 75275",001-910-449-1614x9771,scunningham@example.org,closing,100,May,jasa,group,BN/AL/IM
2210,"Giles, Hall and Sherman","3096 Carl Roads
Barnettchester, GU 42524",+1-686-941-4900x647,bullockchristopher@example.net,closing,100,July,jasa,retail,Ext
2211,Nguyen LLC,"09344 Kevin Stream
Bartlettfurt, NC 79369",235-261-9439,jessica37@example.com,closing,100,October,jasa,group,AL
2212,"Mata, Hoffman and White","37779 William Canyon
Brianbury, MO 39121",001-619-361-1126,debbie95@example.org,closing,100,December,finansial,group,BN/AL/IM
2213,Hernandez-Russell,"91324 Sandra Mills
New Zachary, SC 78506",(384)483-6580x5464,salinassteven@example.net,closing,100,December,industri,retail,AL
2214,Liu-Garcia,"96852 Smith Pike
Matthewburgh, TX 15438",4672023167,kneal@example.org,closing,100,April,perbankan,retail,AL
2215,Wolf PLC,"193 Rowe Villages
Parrishchester, ME 20805",(906)551-9514x5107,mary76@example.com,closing,100,October,teknologi,retail,Ext
2216,Henderson Ltd,"5841 Hobbs Ports
South Dawnport, AZ 12125",(794)846-7430x26633,brandy22@example.com,closing,100,June,jasa,retail,AL/BN/IM
2217,"Herrera, Wolfe and Adams","69350 James Hollow
Murphyberg, KS 70799",+1-966-594-6444x509,denisewalls@example.com,closing,100,September,pariwisata,retail,Ext
